protocol_id,link,titles
prot-1921--fk--024,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--fk--024/prot-1921--fk--024_020,no header
prot-1921--fk--031,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--fk--031/prot-1921--fk--031_005,no header
prot-1921--fk--034,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--fk--034/prot-1921--fk--034_041,no header
prot-1921--fk--039,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--fk--039/prot-1921--fk--039_013,no header
prot-1921--fk--042,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--fk--042/prot-1921--fk--042_098,no header
prot-1922--ak--027,https://swerik-project.github.io/riksdagen-records-pdf/1922/prot-1922--ak--027/prot-1922--ak--027_037,no header
prot-1922--ak--041,https://swerik-project.github.io/riksdagen-records-pdf/1922/prot-1922--ak--041/prot-1922--ak--041_073,no header
prot-1923--ak--004,https://swerik-project.github.io/riksdagen-records-pdf/1923/prot-1923--ak--004/prot-1923--ak--004_086,no header
prot-1925--ak--011,https://swerik-project.github.io/riksdagen-records-pdf/1925/prot-1925--ak--011/prot-1925--ak--011_004,§ 1.; § 2.; § 3.; § 4.
prot-1925--ak--018,https://swerik-project.github.io/riksdagen-records-pdf/1925/prot-1925--ak--018/prot-1925--ak--018_051,no header
prot-1926--ak--035,https://swerik-project.github.io/riksdagen-records-pdf/1926/prot-1926--ak--035/prot-1926--ak--035_084,no header
prot-1926--fk--021,https://swerik-project.github.io/riksdagen-records-pdf/1926/prot-1926--fk--021/prot-1926--fk--021_009,no header
prot-1927--ak--007,https://swerik-project.github.io/riksdagen-records-pdf/1927/prot-1927--ak--007/prot-1927--ak--007_001,§ 1.; § 2.; § 3.
prot-1927--ak--011,https://swerik-project.github.io/riksdagen-records-pdf/1927/prot-1927--ak--011/prot-1927--ak--011_053,no header
prot-1927--ak--028,https://swerik-project.github.io/riksdagen-records-pdf/1927/prot-1927--ak--028/prot-1927--ak--028_107,no header
prot-1927--ak--036,https://swerik-project.github.io/riksdagen-records-pdf/1927/prot-1927--ak--036/prot-1927--ak--036_045,no header
