protocol_id	x	facs	github	NROWS	NCOLS	row_to_check	content	tricky	most_probable_line	lev
data/1875/prot-1875--ak--008.xml	37	https://betalab.kb.se/prot-1875--ak--8/prot_1875__ak__8-037.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--ak--8.xml#L3179	47	1	37	till ändamålet. Vidare anhåller jag att få upplysa på hvad sätt un-		till ändamålet. vidare anhäller jag att få upplysa. .på hvad sätt u	5
data/1875/prot-1875--ak--008.xml	37	https://betalab.kb.se/prot-1875--ak--8/prot_1875__ak__8-037.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--ak--8.xml#L3179	47	1	45	arbete, men som icke har råd att lifnära sig under den tid, den nö-		arbete, men som icke har råd att lifnära sig under den tid, den nöd	1
data/1875/prot-1875--fk--026.xml	40	https://betalab.kb.se/prot-1875--fk--26/prot_1875__fk__26-040.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--fk--26.xml#L3520	49	1	8	erinra derom, att vid förra riksdagen väcktes en till ordalagen lik-		erinra derom, att vid förra riksdagen väcktes en till ordalagen lik-	0
data/1875/prot-1875--fk--026.xml	40	https://betalab.kb.se/prot-1875--fk--26/prot_1875__fk__26-040.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--fk--26.xml#L3520	49	1	9	nande motion med den nu förevarande, och att vid den utredning, som		nande motion med den nu förevarande, och att vid den utredning, som	0
data/1875/prot-1875--fk--026.xml	40	https://betalab.kb.se/prot-1875--fk--26/prot_1875__fk__26-040.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--fk--26.xml#L3520	49	1	33	verkets utgifter, som man afslog den väckta motionen. Då något		verkets utgifter, som man afslog den väckta motionen. då något	0
data/1875/prot-1875--fk--044.xml	12	https://betalab.kb.se/prot-1875--fk--44/prot_1875__fk__44-012.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--fk--44.xml#L881	50	1	27	Hybo öfver Välje till Ånge, derifrån i nordvestlig riktning öfver Gällö-		hybo öfver välje till ånge, derifrån i nordvestlig riktning öfver gällös	1
data/1875/prot-1875--fk--044.xml	12	https://betalab.kb.se/prot-1875--fk--44/prot_1875__fk__44-012.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--fk--44.xml#L881	50	1	40	fördelaktigare öfvergång öfver Ljungans dalgång, och denna linie kunde		fördelaktigare öfvergång öfver ljungans dalgång, och denna linie kunde	0
data/1875/prot-1875--fk--044.xml	12	https://betalab.kb.se/prot-1875--fk--44/prot_1875__fk__44-012.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--fk--44.xml#L881	50	1	47	jemte den svåra öfvergången öfver Ljungan undvikes. Om också		jemte den svåra öfvergången öfver ljungan undvikes. om också	0
data/1876/prot-1876--ak--022.xml	36	https://betalab.kb.se/prot-1876--ak--22/prot_1876__ak__22-036.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--22.xml#L3168	50	1	1	Onsdagen den 15 Mars, f. m. 37		onsdagen den 15 mars, f. m, 31	2
data/1876/prot-1876--ak--022.xml	36	https://betalab.kb.se/prot-1876--ak--22/prot_1876__ak__22-036.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1876/prot-1876--ak--22.xml#L3168	50	1	19	dron består af 100 nummer, af hvilka dock några alltid äro vakanta,		dron består af 100 nummer, af hvilka dock några alltid äro vakanta,	0
